Product-Name,Product-Sale-Rate,Product-Price
Kadýn Indigo Hýrka 7YAL96085OT,,SEPETTE %30 ÝNDÝRÝM,37,09 TL
Kadýn Siyah Jean 9KAK47660DD,,SEPETTE %30 ÝNDÝRÝM,37,09 TL
Kadýn Lacivert Pantolon 9KAK43675MW,,SEPETTE %30 ÝNDÝRÝM,38,49 TL
Kadýn Siyah Ceket 8KAL26342JW,,SEPETTE %30 ÝNDÝRÝM,69,99 TL
Kadýn Pembe Kaban 9KAK06803EW,,SEPETTE %30 ÝNDÝRÝM,83,99 TL
Kadýn Siyah Kate Jean Pantolon 9KAK47808DD,,SEPETTE %30 ÝNDÝRÝM,45,49 TL
Kadýn Siyah Kazak 7KAK92714YT,,SEPETTE %30 ÝNDÝRÝM,20,99 TL
Kadýn Bordo Pantolon 9KAK43713EW,,SEPETTE %30 ÝNDÝRÝM,48,99 TL
Kadýn Siyah Terlik 7YAL21052AA,,SEPETTE %30 ÝNDÝRÝM,17,49 TL
Kadýn Gri Jean 9KAK47914MD,,SEPETTE %30 ÝNDÝRÝM,41,99 TL
Kadýn Lacivert Çizgili Pantolon 9KAK42099UW,,SEPETTE %30 ÝNDÝRÝM,55,99 TL
Kadýn Pembe Sweatshirt 8KAF10251GK,,SEPETTE %30 ÝNDÝRÝM,33,59 TL
Kadýn Marine Kaban 7KAK05396YW,,SEPETTE %30 ÝNDÝRÝM,90,99 TL
Kadýn Lacivert Çizgili Ceket 9KAK52758UW,,SEPETTE %30 ÝNDÝRÝM,69,99 TL
Kadýn Siyah T-Shirt 9KAL11072OK,,SEPETTE %30 ÝNDÝRÝM,19,59 TL
Kadýn Siyah Cep Detaylý Uzun Kollu Fermuar Detaylý Kapüþonlu Mont 9KAK23709OW,,SEPETTE %30 ÝNDÝRÝM,174,99 TL
Kadýn Yeþil Yüksek Yaka Kazak 9KAK93830YT,,SEPETTE %30 ÝNDÝRÝM,34,99 TL
Kadýn Haki Pantolon 9KAK47553DW,,SEPETTE %30 ÝNDÝRÝM,30,09 TL
Kadýn
 Beyaz Dar Kesim Pantolon 9KAK43713EW,,SEPETTE %30 ÝNDÝRÝM,48,99 TL
Kadýn Siyah Kazak 9KAK92109HT,,SEPETTE %30 ÝNDÝRÝM,26,59 TL
Kadýn Pembe Kazak 9KAK92847HT,,SEPETTE %30 ÝNDÝRÝM,41,99 TL
Kadýn Siyah Düðme Detaylý Kaban 9KAK06103EW,,SEPETTE %30 ÝNDÝRÝM,160,99 TL
Kadýn Lacivert Dantel Detaylý Sütyen 9KLK11565MK,,SEPETTE %30 ÝNDÝRÝM,26,59 TL
Kadýn Kýrmýzý Sweatshirt 9YAL18396IK,,SEPETTE %30 ÝNDÝRÝM,40,59 TL
